# Generated by scripts/generate-notices.ps1. Do not edit by hand.
#
# Every package NuGet resolved for the desktop application, with the SPDX identifier of its
# licence. build/licenses/PackageLicenses.targets checks this file on every build: an entry whose
# licence is not in allowed-licenses.txt fails the build, as does a package that reached the build
# without reaching this file.
#
# Format: <PackageId>|<Version>|<SPDX>
Avalonia|12.1.1|MIT
Avalonia.Angle.Windows.Natives|2.1.27548.20260419|BSD-3-Clause
Avalonia.BuildServices|11.3.2|MIT
Avalonia.Desktop|12.1.1|MIT
Avalonia.Fonts.Inter|12.1.1|MIT
Avalonia.FreeDesktop|12.1.1|MIT
Avalonia.FreeDesktop.AtSpi|12.1.1|MIT
Avalonia.HarfBuzz|12.1.1|MIT
Avalonia.Native|12.1.1|MIT
Avalonia.Remote.Protocol|12.1.1|MIT
Avalonia.Skia|12.1.1|MIT
Avalonia.Themes.Fluent|12.1.1|MIT
Avalonia.Win32|12.1.1|MIT
Avalonia.X11|12.1.1|MIT
AWSSDK.Core|4.0.102|Apache-2.0
AWSSDK.S3|4.0.102.3|Apache-2.0
Azure.Core|1.55.0|MIT
Azure.Storage.Blobs|12.29.1|MIT
Azure.Storage.Common|12.28.0|MIT
BouncyCastle.Cryptography|2.7.0|MIT
CommunityToolkit.Mvvm|8.4.2|MIT
HarfBuzzSharp|8.3.1.3|MIT
HarfBuzzSharp.NativeAssets.Linux|8.3.1.3|MIT
HarfBuzzSharp.NativeAssets.macOS|8.3.1.3|MIT
HarfBuzzSharp.NativeAssets.WebAssembly|8.3.1.3|MIT
HarfBuzzSharp.NativeAssets.Win32|8.3.1.3|MIT
Konscious.Security.Cryptography.Argon2|1.3.1|MIT
Konscious.Security.Cryptography.Blake2|1.1.1|MIT
MicroCom.Runtime|0.11.6|MIT
Microsoft.Bcl.AsyncInterfaces|10.0.3|MIT
Microsoft.Data.Sqlite.Core|10.0.10|MIT
Microsoft.EntityFrameworkCore|10.0.10|MIT
Microsoft.EntityFrameworkCore.Abstractions|10.0.10|MIT
Microsoft.EntityFrameworkCore.Analyzers|10.0.10|MIT
Microsoft.EntityFrameworkCore.Relational|10.0.10|MIT
Microsoft.EntityFrameworkCore.Sqlite|10.0.10|MIT
Microsoft.EntityFrameworkCore.Sqlite.Core|10.0.10|MIT
Microsoft.Extensions.Caching.Abstractions|10.0.10|MIT
Microsoft.Extensions.Caching.Memory|10.0.10|MIT
Microsoft.Extensions.Configuration|10.0.10|MIT
Microsoft.Extensions.Configuration.Abstractions|10.0.10|MIT
Microsoft.Extensions.Configuration.Binder|10.0.10|MIT
Microsoft.Extensions.Configuration.CommandLine|10.0.10|MIT
Microsoft.Extensions.Configuration.EnvironmentVariables|10.0.10|MIT
Microsoft.Extensions.Configuration.FileExtensions|10.0.10|MIT
Microsoft.Extensions.Configuration.Json|10.0.10|MIT
Microsoft.Extensions.Configuration.UserSecrets|10.0.10|MIT
Microsoft.Extensions.DependencyInjection|10.0.10|MIT
Microsoft.Extensions.DependencyInjection.Abstractions|10.0.10|MIT
Microsoft.Extensions.DependencyModel|10.0.10|MIT
Microsoft.Extensions.Diagnostics|10.0.10|MIT
Microsoft.Extensions.Diagnostics.Abstractions|10.0.10|MIT
Microsoft.Extensions.FileProviders.Abstractions|10.0.10|MIT
Microsoft.Extensions.FileProviders.Physical|10.0.10|MIT
Microsoft.Extensions.FileSystemGlobbing|10.0.10|MIT
Microsoft.Extensions.Hosting|10.0.10|MIT
Microsoft.Extensions.Hosting.Abstractions|10.0.10|MIT
Microsoft.Extensions.Logging|10.0.10|MIT
Microsoft.Extensions.Logging.Abstractions|10.0.10|MIT
Microsoft.Extensions.Logging.Configuration|10.0.10|MIT
Microsoft.Extensions.Logging.Console|10.0.10|MIT
Microsoft.Extensions.Logging.Debug|10.0.10|MIT
Microsoft.Extensions.Logging.EventLog|10.0.10|MIT
Microsoft.Extensions.Logging.EventSource|10.0.10|MIT
Microsoft.Extensions.Options|10.0.10|MIT
Microsoft.Extensions.Options.ConfigurationExtensions|10.0.10|MIT
Microsoft.Extensions.Primitives|10.0.10|MIT
Microsoft.Identity.Client|4.83.1|MIT
Microsoft.Identity.Client.Extensions.Msal|4.83.1|MIT
Microsoft.IdentityModel.Abstractions|8.14.0|MIT
MinVer|7.0.0|Apache-2.0
Porta.Pty|1.0.7|MIT
Serilog|4.2.0|Apache-2.0
Serilog.Sinks.File|7.0.0|Apache-2.0
SkiaSharp|3.119.4|MIT
SkiaSharp.NativeAssets.Linux|3.119.4|MIT
SkiaSharp.NativeAssets.macOS|3.119.4|MIT
SkiaSharp.NativeAssets.WebAssembly|3.119.4|MIT
SkiaSharp.NativeAssets.Win32|3.119.4|MIT
SQLitePCLRaw.bundle_e_sqlite3|2.1.11|Apache-2.0
